  -502.62854      0.551716      0.33178 56864.012233029148774 -1202.987535586790727    32.057000 56863_J1327+3423_35.1MHz
  -502.62848      0.038426      0.13043 56864.012290679747821 -1202.987477936190317    38.144000 56863_J1327+3423_35.1MHz
  -502.62613      0.001100      0.21538 56864.014647390446044 -1202.985121225497323    55.610000 56863_J1327+3423_64.5MHz
  -502.62613     -0.061719      0.10573 56864.014649311604444 -1202.985119304339605    56.529000 56863_J1327+3423_64.5MHz
  -502.62613     -0.004342      0.05790 56864.014652675563411 -1202.985115940377227    57.911000 56863_J1327+3423_64.5MHz
  -502.62613      0.082974      0.04871 56864.014654598460766 -1202.985114017481919    58.982000 56863_J1327+3423_64.5MHz
  -502.62613     -0.073331      0.05218 56864.014656999002909 -1202.985111616935228    60.256000 56863_J1327+3423_64.5MHz
  -502.62613     -0.017005      0.03646 56864.014659402011603 -1202.985109213927444    61.441000 56863_J1327+3423_64.5MHz
  -502.62613     -0.063397      0.05048 56864.014661323359178 -1202.985107292579642    62.660000 56863_J1327+3423_64.5MHz
  -502.62613     -0.051384      0.04376 56864.014663245383417 -1202.985105370555857    63.873000 56863_J1327+3423_64.5MHz
  -502.62613     -0.000059      0.05085 56864.014665167866042 -1202.985103448077098    65.111000 56863_J1327+3423_64.5MHz
  -502.62613      0.004688      0.03980 56864.014666609335109 -1202.985102006608713    66.344000 56863_J1327+3423_64.5MHz
  -502.62613      0.015685      0.05234 56864.014668531344796 -1202.985100084596752    67.575000 56863_J1327+3423_64.5MHz
  -502.62613     -0.001924      0.04385 56864.014669972551928 -1202.985098643386891    68.786000 56863_J1327+3423_64.5MHz
  -502.62610     -0.070708      0.04169 56864.014671413169708 -1202.985097202769566    70.013000 56863_J1327+3423_64.5MHz
  -502.62610     -0.099694      0.04732 56864.014672854245873 -1202.985095761691582    71.231000 56863_J1327+3423_64.5MHz
  -502.62610     -0.041211      0.05716 56864.014673815865535 -1202.985094800072147    72.358000 56863_J1327+3423_64.5MHz
  -502.62610      0.039242      0.10226 56864.014675258214993 -1202.985093357727465    73.663000 56863_J1327+3423_64.5MHz
  -502.62549     -0.040031      0.11362 56864.015296506528102 -1202.984472109412764    40.617000 56863_J1327+3423_49.8MHz
  -502.62549      0.150188      0.07640 56864.015303235326428 -1202.984465380614665    41.836000 56863_J1327+3423_49.8MHz
  -502.62549      0.008367      0.09152 56864.015309960283048 -1202.984458655659637    43.061000 56863_J1327+3423_49.8MHz
  -502.62546     -0.013316      0.07925 56864.015315725686378 -1202.984452890256307    44.282000 56863_J1327+3423_49.8MHz
  -502.62546      0.057351      0.07378 56864.015321011684136 -1202.984447604255593    45.511000 56863_J1327+3423_49.8MHz
  -502.62546      0.073301      0.06804 56864.015326297056163 -1202.984442318887886    46.736000 56863_J1327+3423_49.8MHz
  -502.62546     -0.018251      0.06441 56864.015331100701587 -1202.984437515235868    47.960000 56863_J1327+3423_49.8MHz
  -502.62546     -0.109517      0.05729 56864.015335423886427 -1202.984433192051483    49.186000 56863_J1327+3423_49.8MHz
  -502.62546      0.023909      0.06036 56864.015339269200922 -1202.984429346737898    50.434000 56863_J1327+3423_49.8MHz
  -502.62543      0.023304      0.06011 56864.015343112965638 -1202.984425502975455    51.636000 56863_J1327+3423_49.8MHz
  -502.62543     -0.016074      0.05511 56864.015346475811384 -1202.984422140132892    52.861000 56863_J1327+3423_49.8MHz
  -502.62543     -0.040596      0.05365 56864.015349358349340 -1202.984419257589707    54.084000 56863_J1327+3423_49.8MHz
  -502.62543     -0.012933      0.05057 56864.015352721966337 -1202.984415893971345    55.314000 56863_J1327+3423_49.8MHz
  -502.62543     -0.010777      0.05116 56864.015355604824435 -1202.984413011119159    56.536000 56863_J1327+3423_49.8MHz
  -502.62543      0.022491      0.04531 56864.015358007563918 -1202.984410608378312    57.761000 56863_J1327+3423_49.8MHz
  -502.62543      0.018584      0.06987 56864.015360409874120 -1202.984408206067656    58.967000 56863_J1327+3423_49.8MHz
  -502.62494     -0.090555      0.13132 56864.015839918843994 -1202.983928697095735    70.461000 56863_J1327+3423_79.2MHz
  -502.62494     -0.051231      0.06943 56864.015842321656237 -1202.983926294284856    72.615000 56863_J1327+3423_79.2MHz
  -502.62494     -0.056827      0.03674 56864.015843282533751 -1202.983925333407115    73.692000 56863_J1327+3423_79.2MHz
  -502.62494      0.024154      0.05667 56864.015844724883209 -1202.983923891056293    74.921000 56863_J1327+3423_79.2MHz
  -502.62494     -0.002854      0.03964 56864.015845685513341 -1202.983922930426615    76.142000 56863_J1327+3423_79.2MHz
  -502.62494     -0.012250      0.04507 56864.015847126822337 -1202.983921489121713    77.368000 56863_J1327+3423_79.2MHz
  -502.62494     -0.045623      0.05025 56864.015848087372433 -1202.983920528565704    78.580000 56863_J1327+3423_79.2MHz
  -502.62494      0.009021      0.03847 56864.015849048948439 -1202.983919566990835    79.810000 56863_J1327+3423_79.2MHz
  -502.62494      0.039220      0.04899 56864.015850010240683 -1202.983918605699046    81.038000 56863_J1327+3423_79.2MHz
  -502.62494     -0.064581      0.04325 56864.015850969983148 -1202.983917645958172    82.275000 56863_J1327+3423_79.2MHz
  -502.62494     -0.079206      0.05206 56864.015851450283662 -1202.983917165656294    83.487000 56863_J1327+3423_79.2MHz
  -502.62494     -0.011449      0.03609 56864.015852412012464 -1202.983916203929539    84.711000 56863_J1327+3423_79.2MHz
  -502.62494     -0.027097      0.04355 56864.015853372773563 -1202.983915243168440    85.936000 56863_J1327+3423_79.2MHz
  -502.62494     -0.007933      0.04286 56864.015853853466979 -1202.983914762475479    87.061000 56863_J1327+3423_79.2MHz
  -499.63409      0.316028      0.20201 56867.006684115680400 -1199.993084500263649    58.124000 56866_J1327+3423_64.5MHz
  -499.63409     -0.023485      0.05950 56867.006686033630103 -1199.993082582308489    58.988000 56866_J1327+3423_64.5MHz
  -499.63409     -0.070165      0.07279 56867.006688435445540 -1199.993080180492825    60.254000 56866_J1327+3423_64.5MHz
  -499.63409     -0.012492      0.05834 56867.006690358000924 -1199.993078257940624    61.443000 56866_J1327+3423_64.5MHz
  -499.63409     -0.013853      0.07120 56867.006692760340229 -1199.993075855600409    62.661000 56866_J1327+3423_64.5MHz
  -499.63409     -0.166911      0.07099 56867.006694680450892 -1199.993073935487246    63.880000 56866_J1327+3423_64.5MHz
  -499.63409     -0.029040      0.05342 56867.006696603937598 -1199.993072012006905    65.114000 56866_J1327+3423_64.5MHz
  -499.63409      0.027578      0.07208 56867.006698046003294 -1199.993070569938027    66.342000 56866_J1327+3423_64.5MHz
  -499.63409     -0.055613      0.06417 56867.006699966921587 -1199.993068649016095    67.575000 56866_J1327+3423_64.5MHz
  -499.63409     -0.041105      0.06354 56867.006701408507070 -1199.993067207434706    68.785000 56866_J1327+3423_64.5MHz
  -499.63409     -0.011637      0.06830 56867.006702850259899 -1199.993065765680058    70.011000 56866_J1327+3423_64.5MHz
  -499.63409      0.033958      0.05462 56867.006704292201903 -1199.993064323738736    71.231000 56866_J1327+3423_64.5MHz
  -499.63409      0.022221      0.07756 56867.006705253006658 -1199.993063362932389    72.308000 56866_J1327+3423_64.5MHz
  -499.63300     -0.031936      0.11801 56867.007781027350575 -1199.991987588593020    71.265000 56866_J1327+3423_79.2MHz
  -499.63300     -0.057840      0.08121 56867.007782468463120 -1199.991986147479111    72.576000 56866_J1327+3423_79.2MHz
  -499.63300     -0.012206      0.05860 56867.007783429929987 -1199.991985186008606    73.710000 56866_J1327+3423_79.2MHz
  -499.63300     -0.063882      0.07411 56867.007784870744217 -1199.991983745193238    74.926000 56866_J1327+3423_79.2MHz
  -499.63300      0.046885      0.04572 56867.007785832975060 -1199.991982782968989    76.155000 56866_J1327+3423_79.2MHz
  -499.63300      0.081371      0.04450 56867.007787274786097 -1199.991981341156134    77.366000 56866_J1327+3423_79.2MHz
  -499.63300      0.003276      0.04810 56867.007788234819600 -1199.991980381117628    78.566000 56866_J1327+3423_79.2MHz
  -499.63300      0.110473      0.05824 56867.007789197006787 -1199.991979418934761    79.809000 56866_J1327+3423_79.2MHz
  -499.63300     -0.098069      0.05137 56867.007790155534167 -1199.991978460406017    81.040000 56866_J1327+3423_79.2MHz
  -499.63300     -0.069393      0.05289 56867.007791116811859 -1199.991977499131735    82.268000 56866_J1327+3423_79.2MHz
  -499.63300      0.025507      0.05617 56867.007791598378390 -1199.991977017562249    83.487000 56866_J1327+3423_79.2MHz
  -499.63300      0.086986      0.05299 56867.007792560034432 -1199.991976055908253    84.711000 56866_J1327+3423_79.2MHz
  -499.63300     -0.037784      0.05227 56867.007793519529514 -1199.991975096409988    85.936000 56866_J1327+3423_79.2MHz
  -499.63300      0.087223      0.06690 56867.007794001445291 -1199.991974614491937    87.072000 56866_J1327+3423_79.2MHz
  -498.63733      0.246080      0.25834 56868.003465295252681 -1198.996303320686138    38.307000 56867_J1327+3423_35.1MHz
  -498.63696      0.103174      0.11445 56868.003826607928204 -1198.995942008014708    58.005000 56867_J1327+3423_64.5MHz
  -498.63696      0.027413      0.07111 56868.003828528933809 -1198.995940087006829    58.982000 56867_J1327+3423_64.5MHz
  -498.63696     -0.005258      0.09026 56868.003830930909317 -1198.995937685029048    60.253000 56867_J1327+3423_64.5MHz
  -498.63696      0.003035      0.07732 56868.003832852889900 -1198.995935763048465    61.443000 56867_J1327+3423_64.5MHz
  -498.63696     -0.006394      0.06126 56868.003835255141894 -1198.995933360801700    62.661000 56867_J1327+3423_64.5MHz
  -498.63693     -0.055677      0.07458 56868.003837176453089 -1198.995931439487322    63.885000 56867_J1327+3423_64.5MHz
  -498.63693     -0.018809      0.07259 56868.003839098768367 -1198.995929517175909    65.110000 56867_J1327+3423_64.5MHz
  -498.63693     -0.003314      0.06498 56868.003840540361125 -1198.995928075583151    66.340000 56867_J1327+3423_64.5MHz
  -498.63693      0.041386      0.10048 56868.003842462756438 -1198.995926153181017    67.572000 56867_J1327+3423_64.5MHz
  -498.63693      0.010912      0.07795 56868.003843903818051 -1198.995924712120086    68.787000 56867_J1327+3423_64.5MHz
  -498.63693      0.042045      0.06254 56868.003845345592708 -1198.995923270346339    70.011000 56867_J1327+3423_64.5MHz
  -498.63693      0.067414      0.07187 56868.003846787301882 -1198.995921828639212    71.232000 56867_J1327+3423_64.5MHz
  -498.63693     -0.056728      0.08148 56868.003847746804240 -1198.995920869133670    72.150000 56867_J1327+3423_64.5MHz
  -498.63501     -0.011486      0.08895 56868.005767710157670 -1198.994000905785015    72.558000 56867_J1327+3423_79.2MHz
  -498.63501      0.083050      0.09866 56868.005768672192062 -1198.993999943748577    73.711000 56867_J1327+3423_79.2MHz
  -498.63501      0.001088      0.06435 56868.005770112657046 -1198.993998503283592    74.940000 56867_J1327+3423_79.2MHz
  -498.63501      0.000539      0.06331 56868.005771073592769 -1198.993997542347643    76.164000 56867_J1327+3423_79.2MHz
  -498.63501      0.006963      0.07070 56868.005772515083663 -1198.993996100859704    77.357000 56867_J1327+3423_79.2MHz
  -498.63501      0.015861      0.05857 56868.005773476128525 -1198.993995139814388    78.556000 56867_J1327+3423_79.2MHz
  -498.63501      0.125586      0.08691 56868.005774438337539 -1198.993994177602190    79.804000 56867_J1327+3423_79.2MHz
  -498.63501      0.143605      0.08426 56868.005775399491540 -1198.993993216451145    81.048000 56867_J1327+3423_79.2MHz
  -498.63501     -0.050202      0.06656 56868.005776358186267 -1198.993992257752097    82.275000 56867_J1327+3423_79.2MHz
  -498.63501      0.107101      0.06872 56868.005776840480394 -1198.993991775460245    83.487000 56867_J1327+3423_79.2MHz
  -498.63501     -0.073635      0.07190 56868.005777799327916 -1198.993990816609767    84.711000 56867_J1327+3423_79.2MHz
  -498.63501     -0.045688      0.05106 56868.005778760598332 -1198.993989855343898    85.936000 56867_J1327+3423_79.2MHz
  -498.63501     -0.037901      0.14171 56868.005779241160781 -1198.993989374782586    86.855000 56867_J1327+3423_79.2MHz
  -497.64572     -0.175610      0.14574 56868.995065069582779 -1198.004703546356495    42.143000 56868_J1327+3423_49.8MHz
  -497.64572      0.343361      0.12524 56868.995069880300434 -1198.004698735638158    43.061000 56868_J1327+3423_49.8MHz
  -497.64572     -0.067844      0.15514 56868.995075641199946 -1198.004692974743193    44.275000 56868_J1327+3423_49.8MHz
  -497.64569      0.254779      0.20891 56868.995080930115364 -1198.004687685826184    45.511000 56868_J1327+3423_49.8MHz
  -497.64569     -0.002198      0.14550 56868.995086212322349 -1198.004682403617608    46.736000 56868_J1327+3423_49.8MHz
  -497.64569     -0.131351      0.11145 56868.995091015538492 -1198.004677600400555    47.960000 56868_J1327+3423_49.8MHz
  -497.64569      0.048074      0.11483 56868.995095341859269 -1198.004673274083416    49.186000 56868_J1327+3423_49.8MHz
  -497.64569      0.113221      0.10400 56868.995099186380685 -1198.004669429559954    50.434000 56868_J1327+3423_49.8MHz
  -497.64569     -0.189951      0.10257 56868.995103026638390 -1198.004665589299520    51.636000 56868_J1327+3423_49.8MHz
  -497.64569      0.086597      0.13395 56868.995106393143942 -1198.004662222800334    52.861000 56868_J1327+3423_49.8MHz
  -497.64566      0.017026      0.10635 56868.995109275165305 -1198.004659340778517    54.084000 56868_J1327+3423_49.8MHz
  -497.64566     -0.049871      0.09019 56868.995112637683633 -1198.004655978254505    55.313000 56868_J1327+3423_49.8MHz
  -497.64566      0.006830      0.11174 56868.995115521167463 -1198.004653094771356    56.536000 56868_J1327+3423_49.8MHz
  -497.64566     -0.113837      0.19623 56868.995117441656475 -1198.004651174283254    57.455000 56868_J1327+3423_49.8MHz
  -497.64377      0.031324      0.18887 56868.997014824017242 -1198.002753791923624    38.169000 56868_J1327+3423_35.1MHz
  -497.63968     -0.164968      0.12539 56869.001102670525142 -1197.998665945418225    57.985000 56868_J1327+3423_64.5MHz
  -497.63968     -0.038826      0.06454 56869.001104593866330 -1197.998664022073399    58.982000 56868_J1327+3423_64.5MHz
  -497.63968     -0.093697      0.07279 56869.001106995587179 -1197.998661620352777    60.254000 56868_J1327+3423_64.5MHz
  -497.63968      0.217555      0.07585 56869.001108921074774 -1197.998659694865410    61.441000 56868_J1327+3423_64.5MHz
  -497.63968      0.118185      0.06086 56869.001111322279030 -1197.998657293659790    62.660000 56868_J1327+3423_64.5MHz
  -497.63968      0.066367      0.07738 56869.001113243568398 -1197.998655372374742    63.883000 56868_J1327+3423_64.5MHz
  -497.63968      0.015065      0.05767 56869.001115164857765 -1197.998653451083783    65.104000 56868_J1327+3423_64.5MHz
  -497.63968     -0.014143      0.07114 56869.001116605933930 -1197.998652010008300    66.346000 56868_J1327+3423_64.5MHz
  -497.63968     -0.091145      0.05985 56869.001118526924984 -1197.998650089014973    67.573000 56868_J1327+3423_64.5MHz
  -497.63968      0.038510      0.05501 56869.001119969841966 -1197.998648646100719    68.788000 56868_J1327+3423_64.5MHz
  -497.63965     -0.016908      0.05710 56869.001121410612541 -1197.998647205328552    70.012000 56868_J1327+3423_64.5MHz
  -497.63965      0.035739      0.06725 56869.001122852634580 -1197.998645763305603    71.234000 56868_J1327+3423_64.5MHz
  -497.63965     -0.111070      0.08789 56869.001123811875004 -1197.998644804062451    72.151000 56868_J1327+3423_64.5MHz
  -497.63821     -0.045972      0.13068 56869.002558499567385 -1197.997210116373481    71.654000 56868_J1327+3423_79.2MHz
  -497.63821      0.057547      0.06665 56869.002559461710916 -1197.997209154232905    72.531000 56868_J1327+3423_79.2MHz
  -497.63821      0.016039      0.06593 56869.002560422166425 -1197.997208193771030    73.695000 56868_J1327+3423_79.2MHz
  -497.63821     -0.037444      0.05324 56869.002561862966104 -1197.997206752976354    74.926000 56868_J1327+3423_79.2MHz
  -497.63821     -0.032298      0.07314 56869.002562823967310 -1197.997205791974466    76.145000 56868_J1327+3423_79.2MHz
  -497.63821      0.014044      0.05433 56869.002564265916590 -1197.997204350024504    77.368000 56868_J1327+3423_79.2MHz
  -497.63821     -0.068392      0.07450 56869.002565225906437 -1197.997203390036475    78.576000 56868_J1327+3423_79.2MHz
  -497.63821     -0.153799      0.05487 56869.002566185859905 -1197.997202430082552    79.808000 56868_J1327+3423_79.2MHz
  -497.63821      0.136223      0.07189 56869.002567150157120 -1197.997201465783519    81.039000 56868_J1327+3423_79.2MHz
