    31.36600      3.238158      0.41982 57471.359119382708741 -595.640880617287735    31.366000 57471_J1327+3423_35.1MHz
    31.50800      2.430913      0.34337 57083.421219806019508 -983.578780193981629    31.508000 57083_J1327+3423_35.1MHz
    31.64700      2.551671      0.38315 57104.365457004780183 -962.634542995218908    31.647000 57104_J1327+3423_35.1MHz
    31.66600      2.899624      0.40454 57192.124367920281657 -874.875632079714819    31.666000 57192_J1327+3423_35.1MHz
    31.70600      2.804651      0.25865 57448.419632371456828 -618.580367628540444    31.706000 57448_J1327+3423_35.1MHz
    31.77400      3.081893      0.30971 57044.528096958005335 -1022.471903041994210    31.774000 57044_J1327+3423_35.1MHz
    31.78100      2.890332      0.30799 56871.992066342332691 -1195.007933657669128    31.781000 56871_J1327+3423_35.1MHz
    31.79600      3.207208      0.39439 57423.489618594991043 -643.510381405012254    31.796000 57423_J1327+3423_35.1MHz
    31.85900      3.642349      0.37427 57144.258589835859311 -922.741410164142053    31.859000 57144_J1327+3423_35.1MHz
    32.00300      2.065782      0.32556 57349.686680784754572 -717.313319215245997    32.003000 57349_J1327+3423_35.1MHz
    32.05700      2.908013      0.33978 56864.012446068889403 -1202.987553931108323    32.057000 56863_J1327+3423_35.1MHz
    32.10200      2.926033      0.39267 57607.976824140998360 -459.023175859004425    32.102000 57607_J1327+3423_35.1MHz
    32.15300      2.208367      0.34776 56883.959689692812390 -1183.040310307190111    32.153000 56883_J1327+3423_35.1MHz
    32.21600      1.855260      0.39255 56875.980307248290046 -1191.019692751710181    32.216000 56875_J1327+3423_35.1MHz
    32.23600      2.570046      0.38844 56891.939349369320553 -1175.060650630679902    32.236000 56891_J1327+3423_35.1MHz
    32.27300      1.751331      0.35457 56868.003622171905590 -1198.996377828097593    32.273000 56867_J1327+3423_35.1MHz
    32.37400      3.163510      0.41240 56904.900912423887348 -1162.099087576109696    32.374000 56904_J1327+3423_35.1MHz
    32.37400      2.985925      0.43510 57216.052305231998616 -850.947694768004226    32.374000 57216_J1327+3423_35.1MHz
    32.51300      3.141028      0.43436 57296.827210965726408 -770.172789034271659    32.513000 57296_J1327+3423_35.1MHz
    32.54200      2.865827      0.29168 57273.890647624546546 -793.109352375453000    32.542000 57273_J1327+3423_35.1MHz
    37.73100      1.899631      0.28121 57044.528155081337900 -1022.471844918664488    37.731000 57044_J1327+3423_35.1MHz
    37.79100      1.219641      0.37875 57753.583475462430215 -313.416524537571320    37.791000 57753_J1327+3423_35.1MHz
    37.84800      1.779643      0.39109 57869.269564536953112 -197.730435463045666    37.848000 57869_J1327+3423_35.1MHz
    37.88800      2.218932      0.20882 57847.328861333349778 -219.671138666651984    37.888000 57847_J1327+3423_35.1MHz
    37.93800      1.620137      0.30238 57423.489677674573613 -643.510322325425363    37.938000 57423_J1327+3423_35.1MHz
    37.95300      1.518860      0.24240 57104.365518493141280 -962.634481506861107    37.953000 57104_J1327+3423_35.1MHz
    38.00200      1.227763      0.40061 57448.419692892581224 -618.580307107422186    38.002000 57448_J1327+3423_35.1MHz
    38.04300      1.622812      0.21554 57372.622093389603833 -694.377906610396167    38.043000 57372_J1327+3423_35.1MHz
    38.14400      1.394384      0.13815 56864.012503227444540 -1202.987496772556369    38.144000 56863_J1327+3423_35.1MHz
    38.16900      1.389967      0.20525 56868.997227929503424 -1198.002772070497940    38.169000 56868_J1327+3423_35.1MHz
    38.19300      0.965706      0.28806 57144.258649863775645 -922.741350136223673    38.193000 57144_J1327+3423_35.1MHz
    38.19800      1.546782      0.32669 56891.939405092132802 -1175.060594907865834    38.198000 56891_J1327+3423_35.1MHz
    38.20300      1.611555      0.30464 57239.985286993927730 -827.014713006074885    38.203000 57239_J1327+3423_35.1MHz
    38.27100      1.271899      0.22006 56869.997143717984727 -1197.002856282011635    38.271000 56869_J1327+3423_35.1MHz
    38.28000      1.888226      0.44176 56904.900966702371079 -1162.099033297625965    38.280000 56904_J1327+3423_35.1MHz
    38.28900      1.748629      0.24337 57555.127986639068695 -511.872013360930282    38.289000 57555_J1327+3423_35.1MHz
    38.30600      1.189829      0.18090 57192.124431322692544 -874.875568677307683    38.306000 57192_J1327+3423_35.1MHz
    38.30700      1.596336      0.26873 56868.003678385233798 -1198.996321614762792    38.307000 56867_J1327+3423_35.1MHz
    38.30700      1.716438      0.22218 56883.959747343658819 -1183.040252656341636    38.307000 56883_J1327+3423_35.1MHz
    38.31700      1.489138      0.18345 56871.992128306897939 -1195.007871693103652    38.317000 56871_J1327+3423_35.1MHz
    38.33500      1.080531      0.16144 56875.980363934919296 -1191.019636065077293    38.335000 56875_J1327+3423_35.1MHz
    38.42900      1.312100      0.25581 57083.421286098091514 -983.578713901907349    38.429000 57083_J1327+3423_35.1MHz
    38.47300      1.749663      0.26758 57653.850191523706599 -413.149808476291980    38.473000 57653_J1327+3423_35.1MHz
    38.48500      1.472503      0.21823 57273.890701901662396 -793.109298098335557    38.485000 57273_J1327+3423_35.1MHz
    38.69600      1.787121      0.16797 57296.827266684718779 -770.172733315284404    38.696000 57296_J1327+3423_35.1MHz
    38.70300      1.154544      0.25396 57349.686742754987790 -717.313257245009936    38.703000 57349_J1327+3423_35.1MHz
    38.76800      1.289112      0.28311 57216.052363349372172 -850.947636650629875    38.768000 57216_J1327+3423_35.1MHz
    38.84200      1.225804      0.17946 57320.764125859037449 -746.235874140961641    38.842000 57320_J1327+3423_35.1MHz
    38.91300      1.348601      0.16959 57004.631607068396988 -1062.368392931605285    38.913000 57004_J1327+3423_35.1MHz
    39.04700      1.328562      0.18728 57471.359191431285581 -595.640808568711805    39.047000 57471_J1327+3423_35.1MHz
    39.08300      1.572019      0.24353 56925.843505909906526 -1141.156494090095748    39.083000 56925_J1327+3423_35.1MHz
    39.43400      1.576565      0.24788 56968.727722720192105 -1098.272277279805849    39.434000 56968_J1327+3423_35.1MHz
    40.61700      1.057323      0.10821 56864.015509051278059 -1202.984490948725124    40.617000 56863_J1327+3423_49.8MHz
    41.83600      1.085574      0.07375 56864.015516258667049 -1202.984483741330223    41.836000 56863_J1327+3423_49.8MHz
