    31.36600      3.219367      0.42856 57471.359119596374512 -595.640880403629126    31.366000 57471_J1327+3423_35.1MHz
    31.50800      2.386922      0.33987 57083.421220019386965 -983.578779980614627    31.508000 57083_J1327+3423_35.1MHz
    31.64700      2.549414      0.38073 57104.365457218627853 -962.634542781368850    31.647000 57104_J1327+3423_35.1MHz
    31.66600      2.838269      0.40015 57192.124368133452663 -874.875631866548815    31.666000 57192_J1327+3423_35.1MHz
    31.68800      4.370738      0.74530 56968.727651376204449 -1098.272348623796233    31.688000 56968_J1327+3423_35.1MHz
    31.69700      3.277334      0.49312 57847.328801020106766 -219.671198979895138    31.697000 57847_J1327+3423_35.1MHz
    31.70600      2.774267      0.24755 57448.419632584984356 -618.580367415015985    31.706000 57448_J1327+3423_35.1MHz
    31.77400      3.029468      0.29956 57044.528097171278205 -1022.471902828724865    31.774000 57044_J1327+3423_35.1MHz
    31.78100      2.810823      0.27400 56871.992066074817558 -1195.007933925184261    31.781000 56871_J1327+3423_35.1MHz
    31.79600      3.066427      0.34198 57423.489618326762866 -643.510381673236679    31.796000 57423_J1327+3423_35.1MHz
    31.85900      3.622028      0.35915 57144.258589569028118 -922.741410430972337    31.859000 57144_J1327+3423_35.1MHz
    31.87300      2.396354      0.51563 57372.622034034007811 -694.377965965993894    31.873000 57372_J1327+3423_35.1MHz
    31.93500      2.273449      0.75388 57239.985227637036587 -827.014772362964891    31.935000 57239_J1327+3423_35.1MHz
    31.95900      2.392815      0.46621 57493.299431209255999 -573.700568790743660    31.959000 57493_J1327+3423_35.1MHz
    32.00300      2.034673      0.30881 57349.686680998267548 -717.313319001729951    32.003000 57349_J1327+3423_35.1MHz
    32.05700      2.901386      0.33178 56864.012445802218281 -1202.987554197780128    32.057000 56863_J1327+3423_35.1MHz
    32.10200      2.858476      0.36678 57607.976823873621470 -459.023176126381372    32.102000 57607_J1327+3423_35.1MHz
    32.15300      2.157594      0.31503 56883.959689906099811 -1183.040310093901553    32.153000 56883_J1327+3423_35.1MHz
    32.21600      1.807396      0.37683 56875.980306981138710 -1191.019693018859243    32.216000 56875_J1327+3423_35.1MHz
    32.23600      2.516733      0.36477 56891.939349582578870 -1175.060650417420902    32.236000 56891_J1327+3423_35.1MHz
    32.27300      1.668326      0.32876 56868.003622384814662 -1198.996377615182155    32.273000 56867_J1327+3423_35.1MHz
    32.37400      3.120514      0.38863 56904.900912156794220 -1162.099087843202369    32.374000 56904_J1327+3423_35.1MHz
