  -684.95496     -0.008087      0.00347 56027.235798818132025 -684.764201181871385   324.744000 GUPPI_0636+51_56027_20   
  -684.93744     -0.003634      0.00489 56027.253309469109809 -684.746690530886667   375.351000 GUPPI_0636+51_56027_21   
  -684.93744     -0.001202      0.00361 56027.253308207320515 -684.746691792677439   324.774000 GUPPI_0636+51_56027_21   
  -684.93597     -0.004982      0.00449 56027.254824846801057 -684.745175153201103   375.333000 GUPPI_0636+51_56027_21   
  -684.93597     -0.002839      0.00307 56027.254823585004488 -684.745176414994489   324.766000 GUPPI_0636+51_56027_21   
  -684.93494     -0.000792      0.00729 56027.255814576848934 -684.744185423150611   375.318000 GUPPI_0636+51_56027_21   
  -684.93494     -0.005961      0.00529 56027.255813314972329 -684.744186685027898   324.770000 GUPPI_0636+51_56027_21   
  -683.51038      0.012290      0.00702 56028.680376563854225 -683.319623436144752   375.465000 GUPPI_0636+51_56028_58   
  -683.51038     -0.000463      0.00466 56028.680375301912136 -683.319624698087978   324.714000 GUPPI_0636+51_56028_58   
  -683.50891      0.008459      0.00718 56028.681891183630796 -683.318108816365907   375.460000 GUPPI_0636+51_56028_58   
  -683.50891     -0.001487      0.00366 56028.681889921725087 -683.318110078277073   324.705000 GUPPI_0636+51_56028_58   
  -683.50739     -0.002443      0.00473 56028.683403844763234 -683.316596155239267   324.746000 GUPPI_0636+51_56028_58   
  -683.50586      0.000692      0.00759 56028.684918798026047 -683.315081201972248   375.683000 GUPPI_0636+51_56028_58   
  -683.50586      0.006789      0.00403 56028.684917536302237 -683.315082463699014   324.748000 GUPPI_0636+51_56028_58   
  -683.50470     -0.004414      0.00779 56028.686084898283298 -683.313915101713292   375.442000 GUPPI_0636+51_56028_58   
  -683.50470     -0.004494      0.00579 56028.686083636486728 -683.313916363512362   324.746000 GUPPI_0636+51_56028_58   
  -683.13934      0.003306      0.00422 56029.051456557346683 -682.948543442651612   375.348000 GUPPI_0636+51_56029_04   
  -683.13934     -0.003013      0.00356 56029.051455295455526 -682.948544704542996   324.698000 GUPPI_0636+51_56029_04   
  -683.13782      0.003434      0.00414 56029.052971469172917 -682.947028530827993   375.350000 GUPPI_0636+51_56029_04   
  -683.13782      0.003218      0.00296 56029.052970207354520 -682.947029792647641   324.711000 GUPPI_0636+51_56029_04   
  -683.13629     -0.000366      0.00385 56029.054485848238983 -682.945514151758857   375.350000 GUPPI_0636+51_56029_04   
  -683.13629     -0.000072      0.00320 56029.054484586427861 -682.945515413571343   324.746000 GUPPI_0636+51_56029_04   
  -683.13477      0.001253      0.00372 56029.055999561634962 -682.944000438367766   375.348000 GUPPI_0636+51_56029_04   
  -683.13477      0.001737      0.00290 56029.055998299823841 -682.944001700176614   324.708000 GUPPI_0636+51_56029_04   
  -683.13361     -0.001927      0.00610 56029.057164913130691 -682.942835086867831   375.351000 GUPPI_0636+51_56029_04   
  -683.13361      0.000683      0.00389 56029.057163651348674 -682.942836348650872   324.748000 GUPPI_0636+51_56029_04   
  -669.56189      0.002177      0.00513 56042.628865763595968 -669.371134236405965   375.390000 GUPPI_0636+51_56042_54   
  -669.56189     -0.001805      0.00322 56042.628864501733915 -669.371135498269609   324.841000 GUPPI_0636+51_56042_54   
  -669.56042     -0.000479      0.00449 56042.630380574919400 -669.369619425081282   375.411000 GUPPI_0636+51_56042_54   
  -669.56042      0.000385      0.00290 56042.630379313115554 -669.369620686887743   324.854000 GUPPI_0636+51_56042_54   
  -669.55945      0.001154      0.00797 56042.631312592093309 -669.368687407908737   375.408000 GUPPI_0636+51_56042_54   
  -669.55945      0.007181      0.00584 56042.631311330347671 -669.368688669654603   324.871000 GUPPI_0636+51_56042_54   
  -667.62976     -0.001207      0.00397 56044.561023503112665 -667.438976496887790   375.446000 GUPPI_0636+51_56044_48   
  -667.62976     -0.006739      0.00321 56044.561022241228784 -667.438977758767692   324.702000 GUPPI_0636+51_56044_48   
  -667.62823      0.006719      0.00407 56044.562537183286622 -667.437462816715538   375.486000 GUPPI_0636+51_56044_48   
  -667.62823      0.000677      0.00310 56044.562535921402741 -667.437464078599874   324.717000 GUPPI_0636+51_56044_48   
  -667.62671     -0.005878      0.00358 56044.564051724752062 -667.435948275246574   375.491000 GUPPI_0636+51_56044_48   
  -667.62671     -0.002076      0.00352 56044.564050462984596 -667.435949537015404   324.722000 GUPPI_0636+51_56044_48   
  -667.62518      0.003637      0.00421 56044.565565799646720 -667.434434200351689   375.478000 GUPPI_0636+51_56044_48   
  -667.62518      0.002844      0.00266 56044.565564537828322 -667.434435462172019   324.670000 GUPPI_0636+51_56044_48   
  -667.62402     -0.002113      0.00568 56044.566730782724335 -667.433269217277029   375.493000 GUPPI_0636+51_56044_48   
  -667.62402     -0.004854      0.00422 56044.566729520884110 -667.433270479118619   324.687000 GUPPI_0636+51_56044_48   
  -667.62262     -0.002398      0.00395 56044.568184519484930 -667.431815480514047   375.428000 GUPPI_0636+51_56044_49   
  -667.62262      0.001011      0.00355 56044.568183257717465 -667.431816742282649   324.655000 GUPPI_0636+51_56044_49   
  -667.60510      0.001282      0.00421 56044.585685220059531 -667.414314779942970   375.300000 GUPPI_0636+51_56044_50   
  -667.60510     -0.004366      0.00291 56044.585683958197478 -667.414316041803886   324.713000 GUPPI_0636+51_56044_50   
  -667.60358      0.003822      0.00447 56044.587199474546651 -667.412800525451075   375.289000 GUPPI_0636+51_56044_50   
  -667.60358     -0.004221      0.00288 56044.587198212662770 -667.412801787339959   324.767000 GUPPI_0636+51_56044_50   
  -667.60266      0.005212      0.00823 56044.588131344098656 -667.411868655898957   375.279000 GUPPI_0636+51_56044_50   
  -667.60266     -0.004788      0.00460 56044.588130082185671 -667.411869917810805   324.741000 GUPPI_0636+51_56044_50   
  -667.48755     -0.006952      0.00508 56044.703234529391921 -667.296765470606715   375.859000 GUPPI_0636+51_56044_60   
  -667.48755     -0.000521      0.00302 56044.703233234453364 -667.296766765543566   324.597000 GUPPI_0636+51_56044_60   
  -667.48602     -0.004664      0.00673 56044.704748994270631 -667.295251005732666   375.734000 GUPPI_0636+51_56044_60   
  -667.48602     -0.004477      0.00294 56044.704747699259315 -667.295252300740003   324.584000 GUPPI_0636+51_56044_60   
  -667.48450     -0.001717      0.00512 56044.706264685730275 -667.293735314273022   375.713000 GUPPI_0636+51_56044_60   
