2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)

	25.414117	63.058086	0.7970	01 41 39.3881	+63 03 29.110	01413938+6303291 	12.593	0.027	12.368	0.033	12.260	0.024	AAA	222	111	000	0	0
	25.469403	63.060223	0.8090	01 41 52.6567	+63 03 36.803	01415265+6303368 	14.618	0.028	14.207	0.049	13.925	0.045	AAA	222	111	000	0	0
	25.470315	63.068180	0.8490	01 41 52.8756	+63 04 05.448	01415287+6304054 	16.248	0.103	15.874	0.172	15.575	0.000	ACU	220	110	000	0	0
	25.418411	63.053635	0.8560	01 41 40.4186	+63 03 13.086	01414041+6303130 	16.226	0.198	14.858	0.000	14.764	0.000	CUU	200	100	c00	0	0
	25.460084	63.075035	0.8590	01 41 50.4202	+63 04 30.126	01415042+6304301 	16.040	0.079	15.824	0.173	15.433	0.178	ACC	222	111	cc0	0	0
	25.411120	63.069904	0.8840	01 41 38.6688	+63 04 11.654	01413866+6304116 	16.475	0.128	16.246	0.000	15.770	0.227	BUD	202	101	000	0	0
	25.415504	63.053127	0.9340	01 41 39.7210	+63 03 11.257	01413972+6303112 	15.548	0.070	15.129	0.104	15.029	0.124	AAB	222	111	ccc	0	0
	25.465256	63.074780	0.9410	01 41 51.6614	+63 04 29.208	01415166+6304292 	15.157	0.050	14.807	0.071	14.513	0.082	AAA	222	111	000	0	0
	25.407229	63.059326	0.9470	01 41 37.7350	+63 03 33.574	01413773+6303335 	14.623	0.043	14.180	0.056	14.134	0.049	AAA	222	111	000	0	0
	25.441817	63.080311	0.9950	01 41 46.0361	+63 04 49.120	01414603+6304491 	16.545	0.131	15.776	0.000	16.253	0.000	BUU	200	100	000	0	0
	33.724638	52.382019	0.3170	02 14 53.9131	+52 22 55.268	02145391+5222552 	14.800	0.037	14.203	0.042	14.127	0.047	AAA	222	111	000	0	0
	33.730482	52.383835	0.3480	02 14 55.3157	+52 23 01.806	02145531+5223018 	15.903	0.071	15.403	0.088	15.566	0.170	AAC	222	111	000	0	0
