#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J0110+2701| 307116824821161088|DA      |14425|  64|8.021|0.006|0.624|0.005|    |     |
J0111+2204|2790884008232725632|DA      | 8732|  51|8.508|0.011|0.923|0.010|    |     |
J0112+3438| 320903154445635456|DA      | 8651|  56|7.954|0.017|0.570|0.013|    |     |
J0113+3307| 313996228559363840|DA      | 5877|  43|7.867|0.036|0.510|0.029|    |     |
J0113-0510|2482721857094021760|DA      | 6706|  48|8.317|0.032|0.793|0.029|    |     |
J0115+1227|2583651904920127232|DA      | 6049|  30|7.926|0.028|0.545|0.022|    |     |
J0115+1435|2590924250920129920|DA      | 6344|  46|8.159|0.022|0.688|0.019|    |     |
J0116-0943|2471521269578009984|DA      | 6375|  66|8.291|0.041|0.775|0.038|    |     |
J0119+1840|2785927684692570496|DA      | 6625|  46|8.050|0.037|0.621|0.032|    |     |
J0119+2241| 292790566268764288|DA      | 6044|  62|8.330|0.042|0.800|0.038|    |     |
J0123-0209|2485211533668928640|DA      | 5836|  20|7.989|0.010|0.580|0.009|    |     |
J0124+4023| 372111985092019840|DA      | 5227|  17|8.087|0.007|0.635|0.006|    |     |
J0124-1959|2353801065013205504|DA      | 7450|  66|8.118|0.017|0.665|0.016|    |     |
J0128+1351|2587268134239449728|DA      |12877| 102|7.897|0.005|0.550|0.005|    |     |
J0128-0045|2485921779525500288|DA      | 5695|  16|7.942|0.009|0.552|0.008|    |     |
J0129+1022|2585189473147457408|DA      | 8493|  21|7.473|0.004|0.339|0.003|    |     |
J0129+3227| 315800325276303872|DA      |15139| 134|7.887|0.010|0.550|0.007|    |     |
J0129+4228| 396370097820352256|DA      |23149| 246|7.883|0.011|0.568|0.008|    |     |
J0131+3147| 315687277442204672|DA      | 7766|  64|7.992|0.020|0.589|0.017|    |     |
J0132+4604| 398672715686799488|DA      |10383|  58|8.021|0.007|0.614|0.006|    |     |
J0134+0204|2558736322894795648|DA      |13022| 140|7.829|0.010|0.514|0.007|    |     |
J0135+0851|2572713104253752448|DA      | 6230|  72|8.211|0.040|0.721|0.036|    |     |
J0135+1445|2588874825669925504|DA      | 7653|  56|7.489|0.015|0.342|0.008|    |     |
J0135+5722| 412839403319209600|DA      |12416|  87|8.897|0.007|1.151|0.004|    |     |
J0137-0459|2480523216087975040|DA+DA   | 7168|  16|7.163|0.005|0.237|0.002|    |     |
J0138+2523| 292454841560140032|DA      |38604|2612|9.040|0.034|1.225|0.015|    |     |
J0139-0629|2479327870854949248|DA      | 6142|  47|7.976|0.030|0.574|0.025|    |     |
J0143+1310|2587491678697364224|DA      | 8073|  48|8.003|0.019|0.597|0.016|    |     |
J0145+3132| 303637562009656704|DA      | 8847|  34|7.551|0.007|0.371|0.004|    |     |
J0146+2154|  98092934167683072|DA      | 9149|  26|8.292|0.003|0.782|0.003|    |     |
J0147+3019| 302740016924068608|DA      | 9071| 104|8.449|0.026|0.885|0.023|    |     |
J0148+1752|  91690164426711040|DA      |17138| 176|7.972|0.014|0.602|0.011|    |     |
J0148-0555|2467788122659245696|DA      | 8664|  54|7.975|0.010|0.582|0.009|    |     |
J0148-1712|5142197118950177280|DA      | 7263|  68|7.857|0.022|0.511|0.016|    |     |
J0150+1524|  90367383218249472|DA      | 6153|  54|8.334|0.050|0.803|0.045|    |     |
J0151+6425| 518201792978858880|DA      | 8730|  30|8.093|0.006|0.653|0.005|    |     |
J0151-1659|5142174201004781440|DA      | 7074| 102|7.579|0.034|0.376|0.021|    |     |
J0152+0100|2510891108771852416|DA      |11002|  79|7.946|0.012|0.572|0.010|    |     |
J0152+0226|2512446810350495488|DA      | 6750|  42|7.983|0.024|0.581|0.019|    |     |
J0152+2553| 297470774951165568|DA      | 7599|  19|7.851|0.006|0.509|0.004|    |     |
J0153+1218|2575509780797922176|DA      | 7078|  72|8.457|0.034|0.886|0.030|    |     |
J0153+1808|  91980130553425536|DAH     | 9146|  49|8.441|0.008|0.880|0.007|    |     |
J0154+0201|2511623211717232640|DA      |12469|  68|7.964|0.005|0.586|0.004|    |     |
J0154+2537| 297399444134124032|DAH     | 6778|  52|8.228|0.023|0.735|0.021|    |     |
J0154-0426|2492027264515309696|DA      | 6275|  66|8.033|0.037|0.609|0.031|    |     |
J0157-0648|2466730839150018944|DA      |10538|  72|7.983|0.011|0.592|0.009|    |     |
J0158+1238|2574848772446200960|DA      | 7668|  58|8.094|0.017|0.651|0.015|    |     |
J0159+2616| 297812418125109632|DA      |13994|  86|8.108|0.010|0.675|0.008|    |     |
J0159+6858| 521406968152848640|DA      | 7871|  77|8.340|0.024|0.811|0.022|    |     |
J0159-1534|5147997450808347648|DA      | 7155|  38|8.044|0.012|0.619|0.011|    |     |
J0202+2615| 105716359383595136|DA      | 5916|  41|8.203|0.038|0.715|0.034|    |     |
J0204+6954| 521927243309686656|DA      | 6568|  60|8.051|0.023|0.621|0.020|    |     |
J0208+0346|2518093214875967360|DA      |11058| 122|8.391|0.016|0.850|0.014|    |     |
