#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J0624-0056|3118424948738692352|DA      | 6412|  37|7.955|0.030|0.563|0.025|    |     |
J0627+3500| 942461445610425856|DA      | 6684|  37|8.042|0.013|0.616|0.011|    |     |
J0627-1934|2940050734981714432|DA      | 7184|  35|7.949|0.010|0.562|0.008|    |     |
J0630-1900|2940003108087120640|DA      | 5985|  53|8.314|0.023|0.789|0.021|    |     |
J0635+1013|3327647271174824704|DA      | 7225|  91|8.481|0.043|0.903|0.038|    |     |
J0635-0044|3119203643485532416|DA      | 7248|  42|8.010|0.014|0.599|0.013|    |     |
J0639+0113|3126624316184360576|DA      |10952|  89|8.033|0.013|0.623|0.011|    |     |
J0641-2027|2927186036623328256|DA      |10078|  36|8.118|0.006|0.672|0.006|    |     |
J0644+2731|3386162214851684864|DA      | 6961|  30|8.388|0.007|0.841|0.007|    |     |
J0645+2715|3385389606068550144|DA      | 8526| 108|8.509|0.035|0.923|0.030|    |     |
J0647+3730| 943770757800160384|DA      |21161|  36|8.187|0.003|0.736|0.002|    |     |
J0655+2939| 887758130788405504|DA      |19255| 293|9.030|0.013|1.213|0.006|    |     |
J0657+3009| 888152408786189952|DA      | 7856|  30|7.946|0.013|0.563|0.010|    |     |
J0658-1650|2935589908933376896|DA      | 6876|  45|8.004|0.019|0.594|0.016|    |     |
J0710+2924| 886366114708208640|DA      |14407|  95|7.934|0.008|0.574|0.006|    |     |
J0723+6602|1101763324511186304|DA      | 7538|  61|7.918|0.021|0.546|0.017|    |     |
J0724+3206| 892944179243357056|DA      | 9618|  63|8.270|0.019|0.769|0.018|    |     |
J0726+3531| 896951830406797568|DA      | 7048|  54|8.026|0.021|0.608|0.018|    |     |
J0727+1434|3166841329084630784|DA      | 5691|  16|7.989|0.007|0.579|0.007|    |     |
J0728+1707|3169614331770315392|DA      |11303| 124|7.988|0.013|0.597|0.010|    |     |
J0729+2716| 872009447786700672|DA      | 9257|  38|7.982|0.008|0.588|0.007|    |     |
J0729+3910| 900182131145007104|DA      |12618|  78|7.940|0.007|0.573|0.006|    |     |
J0730+3412| 893633710472340992|DA      | 7060|  44|8.003|0.018|0.594|0.015|    |     |
J0731+2353| 866850569292962688|DA      |11430| 100|7.994|0.010|0.601|0.008|    |     |
J0731-0015|3086397068370475392|DA      | 9725|  38|7.984|0.008|0.590|0.007|    |     |
J0732+2822| 873303774834413056|DA      | 7197|  50|7.925|0.020|0.549|0.016|    |     |
J0732+4204| 924755185235078144|DA      |16693| 190|8.428|0.014|0.882|0.012|    |     |
J0736+2917| 879383936697674496|DA      | 7024|  36|8.033|0.019|0.612|0.017|    |     |
J0737+4112| 924428973878531968|DA      |11028|  66|8.030|0.008|0.621|0.006|    |     |
J0739+2347| 867440427218037120|DA      | 8470|  88|7.965|0.021|0.575|0.017|    |     |
J0739+2504| 868706888517664000|DA      | 7743|  97|8.302|0.043|0.785|0.038|    |     |
J0740+2218| 866962856917166208|DAZ     | 5852|  34|8.125|0.018|0.665|0.015|    |     |
J0741+1511|3165528615280166144|DA      |14407| 114|7.957|0.009|0.587|0.007|    |     |
J0742+2857| 878635723331279360|DA      | 8411|  59|7.962|0.026|0.573|0.021|    |     |
J0742+3157| 880354496226790400|DAH     | 9426|  60|8.205|0.011|0.726|0.010|    |     |
J0742+4223| 924219890574729856|DA      | 6690|  47|8.030|0.018|0.609|0.015|    |     |
J0744+2443| 867848380391409408|DA      |12557|  86|7.994|0.012|0.603|0.009|    |     |
J0746+3557| 894957694270675584|DA      | 6748|  28|8.050|0.017|0.621|0.015|    |     |
J0747+1107|3151407827963355136|DA      | 8054|  32|8.887|0.006|1.143|0.004|    |     |
J0747+2438| 867739936760402560|DA      | 5641|  22|7.974|0.013|0.570|0.010|    |     |
J0747+4408| 926002203218885504|DA      |14704| 122|8.420|0.006|0.874|0.005|    |     |
J0747+4527| 927205339521671552|DA      |13630| 324|8.791|0.017|1.098|0.011|    |     |
J0749+1732| 668127242870832768|DA      | 6865|  64|8.480|0.030|0.902|0.026|    |     |
J0750+0918|3148732406937031936|DA      | 5112|  20|7.958|0.014|0.555|0.011|    |     |
J0750+1740| 668317840636534912|DA      | 7041|  30|8.045|0.010|0.619|0.008|    |     |
J0751+1120|3150770626615542784|DA      |11791|  62|7.923|0.009|0.561|0.007|    |     |
J0751+6707|1096117955074105088|DA      | 5650|  30|8.211|0.013|0.719|0.012|    |     |
J0752+4757| 933544818624946048|DA      |10856|  66|8.031|0.012|0.621|0.010|    |     |
J0753-0009|3084195266274202752|DA      | 9885|  48|7.953|0.010|0.573|0.008|    |     |
J0754+1614| 666999556257654784|DA      | 7892|  51|7.778|0.020|0.471|0.014|    |     |
J0755+0813|3145370645837100160|DA      | 5620|  30|8.104|0.019|0.650|0.017|    |     |
J0756+3646| 918886709424112896|DA      | 6453|  30|8.263|0.020|0.756|0.019|    |     |
J0756+4139| 922434906461782272|DA      | 6853|  20|8.378|0.006|0.834|0.005|    |     |
J0757+3230| 881146316398060672|DA      | 6048|  42|8.015|0.044|0.597|0.037|    |     |
J0758+3553| 906775593140073344|DA      |16397| 118|7.930|0.010|0.577|0.007|    |     |
J0759+4735| 933095015289999872|DA      | 8881|  52|8.076|0.010|0.643|0.009|    |     |
J0800+0655|3144237908341731712|DAH     |10623| 112|8.643|0.018|1.010|0.013|    |     |
J0801+4852| 933287876501371520|DA      | 5161|  16|7.944|0.009|0.548|0.008|    |     |
J0803+0022|3084427916062349440|DA      | 6490|  36|8.032|0.019|0.609|0.016|    |     |
J0803+0829|3146188235810977920|DA      |10447|  47|8.214|0.013|0.734|0.012|    |     |
J0803+1229| 653051877600013312|DAH     |19164| 331|8.920|0.015|1.166|0.008|    |     |
J0804+0716|3145766676180517760|DA      | 7354|  38|7.930|0.020|0.552|0.016|    |     |
J0804+2250| 680152090443478656|DA      |18840| 284|8.470|0.011|0.912|0.010|    |     |
J0804+3538| 906160863060179072|DA      | 9318|  62|8.459|0.013|0.891|0.012|    |     |
J0804+4213| 922686832063591168|DA      | 9129|  61|7.999|0.013|0.597|0.011|    |     |
J0805+0735|3145802036649641472|DA      | 5397|  17|8.135|0.007|0.667|0.007|    |     |
J0805+1820| 669024203839693056|DA      | 6644|  56|8.077|0.025|0.638|0.022|    |     |
J0805+3833| 908962109449446656|DA      | 4911|  12|8.066|0.005|0.620|0.005|    |     |
J0805+4720| 932855386179190272|DA      | 7014|  34|7.999|0.024|0.591|0.020|    |     |
J0805+4821| 933057593239584000|DA      | 8001|  88|8.577|0.034|0.966|0.028|    |     |
J0805+4957| 934937139647967232|DA      | 7056|  60|8.227|0.032|0.734|0.029|    |     |
J0806+2215| 677060225090183552|DA      | 5702|  24|8.041|0.013|0.611|0.012|    |     |
J0807+2557| 681934703732973824|DA      | 6729|  38|8.034|0.033|0.611|0.028|    |     |
J0807+4431| 928937074630507392|DA      | 6283|  22|8.293|0.010|0.776|0.009|    |     |
J0807+4854| 934555334235313664|DA      | 6549|  36|8.091|0.018|0.646|0.016|    |     |
J0808+1854| 669444943132791424|DA      | 5674|  26|7.951|0.013|0.557|0.010|    |     |
J0809+0245|3091044532222339584|DA      | 7162|  36|8.444|0.016|0.878|0.014|    |     |
J0809+2250| 677196843705878272|DA      | 6660|  22|8.176|0.011|0.700|0.010|    |     |
J0810+0041|3083765357227100800|DA      | 9978|  78|7.621|0.014|0.405|0.008|    |     |
J0810+0329|3091528115477228288|DA      |19290| 213|8.015|0.010|0.631|0.008|    |     |
J0811+2321| 677593660028220544|DA      | 6383|  50|8.041|0.033|0.614|0.028|    |     |
J0811+4212| 921804126089222784|DA      |14597| 278|8.912|0.014|1.159|0.008|    |     |
J0811+4323| 928079146323608320|DA      |21196| 356|8.516|0.013|0.944|0.010|    |     |
J0812+0942|3146576878812071168|DA      | 6328|  80|8.651|0.051|1.010|0.040|    |     |
J0812+1737| 657056745624156416|DA      |16273|  90|8.075|0.005|0.659|0.005|    |     |
J0813+1130| 649041786893358336|DA      |10245|  52|7.973|0.010|0.585|0.008|    |     |
J0813+1220| 650230771279461760|DA      | 6140|  26|8.109|0.016|0.655|0.014|    |     |
J0813+2320| 677560232299128192|DA      |15904| 174|8.006|0.013|0.618|0.010|    |     |
J0814+1300| 650340408909616896|DA      | 7687|  64|8.391|0.019|0.844|0.018|    |     |
J0815+1633| 655808799925588992|DA      | 4668|  32|6.779|0.059|0.116|0.015|    |     |
J0815+5339|1031832946170531456|DA      | 9352|  66|8.405|0.014|0.856|0.013|    |     |
J0815+5814|1035222289547372800|DA      | 7631|  50|8.389|0.011|0.842|0.011|    |     |
J0815-0220|3070143267150880384|DA      |10215| 128|7.850|0.023|0.516|0.018|    |     |
J0816+2137| 676031052142751488|DA      | 6167|  12|7.973|0.006|0.573|0.005|    |     |
J0819+1948| 663601481211006592|DA      | 5546|  16|7.997|0.019|0.583|0.016|    |     |
J0819+2933| 708292166410436608|DA      |17064| 222|7.917|0.012|0.571|0.009|    |     |
J0820+3834| 908364559240386944|DA      | 7598|  36|8.039|0.008|0.617|0.007|    |     |
J0820+4310| 916276228300814976|DA      | 6926|  18|7.351|0.016|0.290|0.008|    |     |
J0821+3727| 908048587085834752|DA      | 5010|  24|7.960|0.019|0.556|0.016|    |     |
J0822+0300|3090505359208876288|DA      | 6810|  44|8.128|0.031|0.670|0.027|    |     |
J0822+3614| 904376149529962880|DA      |18248| 226|8.043|0.011|0.645|0.009|    |     |
J0824+3104| 709051168734737024|DA+DC?  | 8575|  42|8.264|0.013|0.762|0.012|    |     |
J0825+6003|1035806851776104448|DA      | 9994|  56|7.993|0.011|0.596|0.009|    |     |
J0826+3249| 902972034525449088|DAZ     | 6081|  27|8.006|0.017|0.592|0.015|    |     |
J0826-0539|3065135949463337984|DA      | 7733|  62|8.065|0.019|0.633|0.016|    |     |
J0827+2607| 679723276611814400|DA      | 7255|  35|8.127|0.021|0.671|0.018|    |     |
J0828-0141|3076010742232557952|DA      | 6394|  48|8.126|0.029|0.668|0.026|    |     |
J0829+5312|1028955489881696768|DA      | 9757|  58|8.095|0.014|0.657|0.012|    |     |
J0830+3241| 710766750855439360|DA      | 7487|  26|8.460|0.006|0.889|0.006|    |     |
J0831+1322| 651337945128014720|DA      |15821| 170|7.912|0.012|0.565|0.009|    |     |
J0831+1641| 658781771991055104|DA      | 7075|  30|7.969|0.011|0.574|0.010|    |     |
J0831+1905| 662716271271960320|DA      | 6117|  44|8.017|0.034|0.599|0.029|    |     |
J0831+3331| 710947963731953792|DA      | 5809|  22|8.105|0.009|0.652|0.008|    |     |
J0832+5714|1034473453408991360|DA      | 5841|  30|8.153|0.024|0.682|0.021|    |     |
J0832+6507|1092515229130044544|DA      | 6437|  34|8.307|0.018|0.786|0.016|    |     |
J0832-0207|3073014263809462528|DA      | 9386|  88|8.598|0.015|0.981|0.012|    |     |
J0833+2914| 707673416242396160|DA      | 6598|  34|8.014|0.017|0.599|0.014|    |     |
J0834+0321|3080205580955810432|DA      | 6090|  51|8.368|0.036|0.826|0.033|    |     |
J0834+0727| 595867686585664256|DA      | 9449|  66|7.960|0.023|0.575|0.018|    |     |
J0834+3659| 910087768838947456|DA      | 8922|  40|7.976|0.009|0.583|0.007|    |     |
J0835+1042| 601566038739612160|DA      |28006| 514|9.222|0.021|1.282|0.006|    |     |
J0835+4718| 918648974394418816|DA      | 6571|  30|7.964|0.016|0.569|0.013|    |     |
J0835+4758|1014793672740325248|DA      | 7930| 116|8.380|0.029|0.838|0.026|    |     |
J0835+5332|1030289712881895296|DAH     | 8818| 148|8.378|0.027|0.837|0.025|    |     |
J0836+1452| 657598147723622912|DA      | 7892|  54|8.450|0.023|0.884|0.021|    |     |
J0836+2216| 665991789427730432|DA      | 7942|  52|8.178|0.019|0.705|0.017|    |     |
J0836+3506| 711527372000026624|DA      | 6215|  36|7.886|0.033|0.523|0.026|    |     |
J0837+4613| 918336060256260480|DA      | 6269|  38|8.015|0.020|0.598|0.018|    |     |
J0837+5100|1027704894188127232|DA      | 7300|  60|7.394|0.019|0.306|0.009|    |     |
J0840+0939| 598240497102033024|DA      |10028|  66|8.177|0.014|0.709|0.012|    |     |
J0840+1518| 657673498630210176|DAZ     | 6401|  34|8.156|0.027|0.687|0.024|    |     |
J0840+3431| 711260465552649216|DA      | 7038|  42|8.390|0.019|0.843|0.018|    |     |
J0841+0223|3079104660578372480|DAH     | 6906|  74|8.290|0.034|0.776|0.031|    |     |
J0842+2300| 665392383790872192|DA      |25773| 314|7.788|0.011|0.529|0.007|    |     |
J0842+2409| 690287663506579328|DA      | 5888|  20|8.008|0.008|0.592|0.007|    |     |
J0842+3424| 717203467636317056|DA      |15315| 128|8.038|0.011|0.635|0.010|    |     |
J0842-0222|3072348715677121280|DAH?DBH?|23910| 211|8.905|0.008|1.161|0.004|    |     |
J0843+0002|3075067700558242176|DA      | 8879| 144|8.535|0.029|0.940|0.024|    |     |
J0843+5414|1030381796981255936|DA      | 6889|  48|7.959|0.021|0.567|0.017|    |     |
J0844+1035| 598769843231677056|DA      | 6313|  30|8.112|0.024|0.658|0.021|    |     |
J0844+4536| 917321936874346880|DA      | 8535|  26|7.406|0.008|0.316|0.004|    |     |
J0845+3214| 710026160671981440|DA      | 7487|  50|7.655|0.021|0.411|0.013|    |     |
J0846+0514| 582729312907277568|DA      | 6424|  41|7.988|0.029|0.583|0.024|    |     |
J0846+6352|1044109229717304064|DA      | 8117|  42|8.072|0.011|0.639|0.009|    |     |
J0849+0923| 597646245427109376|DA      | 8496|  44|7.956|0.016|0.571|0.013|    |     |
J0849+3319| 716112442863454464|DA      | 7570|  38|7.999|0.009|0.593|0.008|    |     |
J0849+3429| 716504796716020352|DA      | 7502|  31|7.965|0.007|0.573|0.006|    |     |
J0849+5942|1040991259555635328|DA      | 6015|  26|7.958|0.015|0.563|0.012|    |     |
J0851+1201| 604972428842238080|DAH     |11208|  82|8.478|0.010|0.907|0.009|    |     |
J0852+1850| 660431181166277120|DAZ     | 7981|  59|7.939|0.020|0.559|0.016|    |     |
J0853-0137|5764027015254831488|DA      | 6176|  62|8.057|0.035|0.623|0.031|    |     |
J0854+2752| 692904776058392064|DA      | 6962|  40|7.950|0.017|0.562|0.013|    |     |
J0854+2926| 705484593532621952|DA:     | 5061|  40|7.966|0.028|0.559|0.023|    |     |
J0855+3700| 718682620012682112|DA      | 5759|  19|7.749|0.011|0.447|0.008|    |     |
J0856+2534| 691604221304319744|DAH     |11323| 118|8.569|0.025|0.965|0.020|    |     |
J0856+6206|1042926292644833024|DA      |11856|  78|8.558|0.009|0.959|0.007|    |     |
J0857+1808| 612262122214240512|DA      | 6736|  14|7.965|0.010|0.570|0.008|    |     |
J0857+2542| 691600338653939328|DA      | 6067|  22|8.072|0.029|0.632|0.025|    |     |
J0857+3901| 719707193051500928|DA      | 6533|  34|8.015|0.018|0.599|0.015|    |     |
J0857+4016| 720353602808918016|DA      |22522| 220|7.954|0.010|0.604|0.007|    |     |
J0858+0543| 583533124626862464|DA      |14346| 122|7.949|0.010|0.582|0.008|    |     |
J0858+4126| 912718071240545152|DAH     | 7097|  28|8.384|0.008|0.838|0.007|    |     |
J0859+5934|1038018828652951296|DA      | 5022|  38|7.906|0.035|0.524|0.029|    |     |
J0901+1551| 610478649930041856|DA      |16094| 134|7.959|0.008|0.592|0.007|    |     |
J0901+3607| 715357559411376128|DA      |11575|  38|8.098|0.004|0.663|0.004|    |     |
J0901-0141|5764107760640582656|DA      | 7578|  68|8.170|0.022|0.699|0.018|    |     |
J0902+5630|1036295206737529856|DA      | 5115|  29|7.455|0.040|0.310|0.022|    |     |
J0903+0838| 585164761227127424|DA      | 5408|  22|8.146|0.014|0.675|0.013|    |     |
J0903+2012| 636651837034002944|DA      | 7214|  32|7.882|0.010|0.524|0.009|    |     |
J0903+2139| 685402357248747648|DA      | 7839|  54|8.439|0.024|0.876|0.021|    |     |
J0903+2444| 688314207636275328|DA      | 8510|  88|8.010|0.028|0.602|0.023|    |     |
J0904+0211| 577342113952420224|DA      | 6246|  49|8.346|0.023|0.811|0.021|    |     |
J0904+1349| 606938634805314816|DA      | 9471|  42|7.987|0.009|0.591|0.007|    |     |
J0904+1349| 606938634805314944|DA      | 8184|  38|7.989|0.009|0.589|0.008|    |     |
J0904+3017| 699628147926656768|DA      | 6724|  36|8.003|0.021|0.593|0.018|    |     |
J0905+2315| 685671909396428544|DA      | 6187|  49|8.249|0.045|0.746|0.041|    |     |
J0905+5143|1016617865610081152|DA      | 8015|  48|8.457|0.015|0.888|0.013|    |     |
J0905-0154|5763373596110853248|DAZ     | 6602|  56|7.988|0.026|0.583|0.021|    |     |
J0906+0122| 577026966432521088|DA      | 7087|  70|8.546|0.035|0.945|0.030|    |     |
J0906+0700| 583995091309178624|DA      |17263| 206|7.953|0.012|0.591|0.009|    |     |
J0906+2440| 688157703323842944|DA      |10674|  76|7.992|0.016|0.598|0.014|    |     |
J0907+1042| 592019425952313600|DA      | 7456|  45|7.835|0.015|0.500|0.012|    |     |
J0907+2733| 692130376274309376|DA      |10621|  54|7.988|0.016|0.595|0.013|    |     |
J0907+2736| 692134636881870208|DA      | 7517|  62|8.111|0.030|0.661|0.027|    |     |
J0907+2739| 692134843040270080|DA      |16052| 260|8.433|0.016|0.885|0.014|    |     |
J0907+3643| 715437789400182016|DA      | 8630|  44|8.265|0.008|0.763|0.008|    |     |
J0909+0828| 590316282441032704|DA      | 6440|  36|8.037|0.037|0.612|0.031|    |     |
J0909+6019|1039435691120199936|DA      | 8583|  35|8.124|0.007|0.672|0.006|    |     |
J0910+2156| 685295640197734528|DA      | 5707|  24|7.612|0.013|0.382|0.008|    |     |
J0911+1354| 606216148291719680|DA      | 9390|  59|8.066|0.015|0.638|0.014|    |     |
J0911-0012|3842126835031738368|DA      | 6166|  30|7.967|0.016|0.569|0.013|    |     |
J0912+1951| 636732410620758016|DA      | 5073|  12|8.040|0.010|0.605|0.008|    |     |
J0912+2538| 688606063549945600|DA      | 6577|  18|8.057|0.006|0.625|0.005|    |     |
J0913+0112|3843483151343659776|DA      | 7290|  68|8.425|0.018|0.866|0.017|    |     |
J0913+4047| 815429197896495104|DA      | 6715|  34|7.903|0.011|0.534|0.010|    |     |
J0913+5933|1038500174228188416|DA      | 6902|  66|8.366|0.023|0.826|0.021|    |     |
J0915+6631|1068706339918614016|DA      | 7890|  66|8.177|0.016|0.704|0.014|    |     |
J0916+0548| 579835153490062976|DA      | 6329|  28|8.025|0.012|0.604|0.010|    |     |
J0916+2259| 638935758908460288|DA      | 5800|  18|8.202|0.016|0.714|0.015|    |     |
J0916+3855| 812202337427426304|DA      |11655|  98|8.079|0.011|0.652|0.010|    |     |
J0916+4359| 818602457173176192|DA      | 8671|  34|8.017|0.005|0.607|0.005|    |     |
J0918+5224|1022470261063639808|DA      |14660| 107|7.939|0.007|0.578|0.006|    |     |
J0919+0113|3844209481853063296|DA      | 6225|  29|8.107|0.017|0.655|0.015|    |     |
J0920+1935| 635777617916154368|DA      | 6274|  27|8.108|0.023|0.656|0.021|    |     |
J0920+6521|1067799822645432192|DA      |22578| 294|8.499|0.011|0.934|0.009|    |     |
J0922+0103|3843957354387777152|DAZ     | 6095|  14|7.983|0.006|0.578|0.005|    |     |
J0922+0504| 585488567401589248|DAH     | 5759|  24|8.146|0.012|0.677|0.010|    |     |
J0922+2628| 694006757290271360|DA      | 6709|  23|8.022|0.034|0.604|0.029|    |     |
J0922+4125| 812885610888282880|DA      | 6275|  45|7.866|0.040|0.512|0.031|    |     |
J0922+5244|1019874314110122368|DA      |13432| 148|7.997|0.009|0.607|0.008|    |     |
J0923+0559| 585700189030449920|DA      | 5661|  18|7.026|0.022|0.190|0.008|    |     |
J0923+2413| 639439884989423616|DA      | 7207|  64|8.313|0.027|0.792|0.024|    |     |
J0923+4819|1011870071322756096|DA      | 7169|  62|8.442|0.019|0.877|0.018|    |     |
J0924+0521| 585513959248023936|DA      | 6190|  40|8.141|0.029|0.676|0.025|    |     |
J0924+2107| 637527525030988160|DAZ     | 6187|  43|8.167|0.025|0.693|0.022|    |     |
J0924+3516| 798566915774818176|DA      |11599|  64|7.987|0.007|0.597|0.006|    |     |
J0925+3539| 798602271945568256|DA      | 7116|  34|8.082|0.017|0.642|0.015|    |     |
J0925+6120|1039163458912998272|DA      | 8160|  28|7.894|0.006|0.534|0.004|    |     |
J0926+1932| 634225902066816640|DA      | 7454|  54|7.993|0.018|0.589|0.015|    |     |
J0926+3642| 810799665531428608|DA      | 6144|  51|8.219|0.038|0.727|0.034|    |     |
J0927+0028|3840946062621774592|DA      | 7766|  86|8.467|0.034|0.894|0.029|    |     |
J0927+0947| 589285627728700160|DA      |10214|  69|8.597|0.014|0.981|0.012|    |     |
J0928+1841| 633911196927706880|DA      | 7765|  38|8.447|0.008|0.881|0.007|    |     |
J0929+6649|1068317142866278016|DA      | 6036|  62|8.176|0.033|0.698|0.030|    |     |
J0930+3845| 811435114533149056|DA      | 6103|  40|7.934|0.038|0.549|0.030|    |     |
J0930+5941|1038689805623461376|DA      | 9203| 146|8.370|0.025|0.833|0.022|    |     |
J0934+1910| 633295848373672320|DA      | 9251|  36|8.052|0.012|0.629|0.010|    |     |
J0934+5637|1025040880593486720|DA      | 6880|  66|8.429|0.024|0.868|0.022|    |     |
J0936+0428|3851443134492197888|DA      | 6292|  34|8.227|0.037|0.732|0.033|    |     |
J0936+0747| 587767202170593536|DA      | 8533|  67|8.017|0.019|0.606|0.016|    |     |
J0936+8221|1145020139172129536|DA      | 9098|  74|7.987|0.015|0.590|0.012|    |     |
J0938+2758| 647899806626643200|DA      |11367| 109|8.330|0.018|0.811|0.016|    |     |
J0938+5412|1021408850089922560|DA      | 9091| 108|8.470|0.022|0.898|0.019|    |     |
J0939+4951| 826275295988399232|DA      | 6072|  12|8.391|0.006|0.841|0.005|    |     |
J0939+6018|1050825733935333376|DA      | 7074|  62|7.948|0.023|0.561|0.018|    |     |
J0941+1923| 633537122455925632|DA      |11448| 136|8.451|0.019|0.890|0.017|    |     |
J0941+2822| 648307961663426048|DA      |15325| 157|7.912|0.010|0.564|0.008|    |     |
J0942+0117|3846462656056088448|DA      | 6160|  44|8.256|0.025|0.751|0.023|    |     |
J0942+0347|3848159236857539584|DA      | 7848| 115|8.410|0.040|0.857|0.036|    |     |
J0942+4654| 824743882449610752|DA      | 9138|  38|7.936|0.009|0.561|0.007|    |     |
J0944+4407| 820169737983275904|DA      | 6864|  69|8.344|0.029|0.811|0.026|    |     |
J0945+0154|3846557660732848384|DA      | 6925|  28|8.066|0.011|0.632|0.010|    |     |
J0945+2327| 641625576666483584|DA      | 7311|  37|8.017|0.011|0.603|0.010|    |     |
J0945+2327| 641625576666484480|DA      | 7060|  40|8.013|0.014|0.599|0.012|    |     |
J0945+4035| 801512095107318144|DA      | 6799|  57|7.998|0.023|0.590|0.019|    |     |
J0946+1347| 614643325098055680|DA      |17185| 210|8.448|0.011|0.896|0.010|    |     |
J0946+2255| 641362724667841536|DA      | 6556|  46|8.036|0.039|0.612|0.034|    |     |
J0946+3251| 793575201703625984|DA      | 6679|  32|8.152|0.010|0.685|0.008|    |     |
J0946+4354| 820105214691139584|DA      |13954| 177|7.564|0.009|0.396|0.005|    |     |
J0946+6738|1069735341067492224|DA      | 6685|  46|8.029|0.019|0.608|0.017|    |     |
J0947+2601| 646514250177090304|DA      |10729|  60|8.199|0.010|0.725|0.009|    |     |
J0947+4500| 820969357814799872|DA      | 4861|  56|8.082|0.030|0.630|0.028|    |     |
J0948+1319| 614379236149119360|DA      | 6814|  38|8.015|0.016|0.600|0.014|    |     |
J0948+1519| 616394263005286272|DA      | 7877|  70|8.372|0.027|0.832|0.024|    |     |
J0948+2421| 643183348419998336|DA+DAXP |19678| 296|8.378|0.010|0.854|0.009|    |     |
J0949-0019|3833982271367482624|DA      |10606|  42|7.947|0.013|0.571|0.010|    |     |
J0950+3219| 793309222967482368|DA      |21925| 331|8.350|0.012|0.840|0.010|    |     |
J0950+3640| 796546150842518400|DA      |10621|  72|8.061|0.016|0.639|0.014|    |     |
J0952+0731|3853660510143027200|DA      |15369| 124|8.026|0.009|0.628|0.008|    |     |
J0952+4454| 820542992117501952|DA+dM   |10360|  81|7.917|0.013|0.554|0.010|    |     |
J0952+4807| 823393402996648960|DA      | 7723|  74|7.954|0.020|0.567|0.017|    |     |
J0954+3129| 745127553991482368|DA      | 6826|  60|7.930|0.028|0.550|0.022|    |     |
J0955+1802| 626319721972908288|DA      |10949|  76|7.981|0.011|0.592|0.009|    |     |
J0955+5056| 826954824238274048|DA      | 7311|  53|8.009|0.018|0.598|0.015|    |     |
J0956+2114| 628141337862068864|DA      | 8681|  68|8.554|0.025|0.952|0.020|    |     |
J0958+0147|3834721387994870784|DA      |16308| 182|7.906|0.016|0.563|0.012|    |     |
J0958+4345| 808268967721645696|DA      | 6420|  48|7.949|0.026|0.560|0.020|    |     |
J0959+2513| 642837135401004672|DA      | 6863|  44|8.101|0.019|0.653|0.017|    |     |
J1000+1231|3881473820703514752|DA      | 8751|  72|8.077|0.028|0.643|0.025|    |     |
J1001+2428| 642463713764824192|DA      | 7057|  62|8.487|0.032|0.906|0.027|    |     |
J1003+3543| 795686191013196544|DA      | 8302| 120|8.476|0.043|0.901|0.037|    |     |
J1003+5401| 852604201427010816|DA      | 9606|  59|7.980|0.014|0.588|0.011|    |     |
J1004+1052|3880219037418284160|DA      | 6966|  72|8.483|0.042|0.903|0.037|    |     |
J1004+2003| 626844326458669568|DA      | 8521|  64|8.574|0.016|0.964|0.014|    |     |
J1004+3405| 747348704918599552|DA      | 6412|  38|8.178|0.027|0.701|0.024|    |     |
J1005+5354| 852433880203843712|DA      | 6930|  36|8.409|0.011|0.854|0.010|    |     |
J1005-0234|3829366074878263168|DA      |19918| 159|7.951|0.012|0.596|0.009|    |     |
J1006+0044|3834915417437497088|DAM     | 7472| 134|7.974|0.040|0.578|0.033|    |     |
J1006+0712|3874412413432647680|DA      | 9509|  44|7.979|0.009|0.587|0.008|    |     |
J1006+4837| 823631692078674816|DA      |15875| 174|8.111|0.010|0.681|0.008|    |     |
J1006+6941|1070600145618332160|DA      |14132| 120|7.950|0.008|0.582|0.006|    |     |
J1007+1541| 621824987157964544|DA      | 7336|  40|7.983|0.020|0.583|0.016|    |     |
J1007+1623| 621979502901486720|DAH     |10393|  82|8.621|0.015|0.996|0.012|    |     |
J1007+3229| 745895322345421568|DA      | 9570|  94|8.269|0.019|0.768|0.017|    |     |
J1009+3621| 801684301820413952|DA      | 6448|  36|7.872|0.018|0.516|0.014|    |     |
J1009+6358|1053211437944753024|DA      |20305| 219|8.006|0.008|0.628|0.006|    |     |
J1010+1811| 623384098941292672|DA      |12239|  88|7.949|0.014|0.577|0.011|    |     |
J1010+4028| 803585018126670208|DA      | 6095|  27|8.095|0.017|0.647|0.015|    |     |
J1010+6155|1051954485699665280|DA      | 6933|  75|8.294|0.026|0.779|0.024|    |     |
J1011+2647| 739253825436690432|DA      | 5373|  16|7.967|0.014|0.563|0.011|    |     |
J1011+3727| 801851053926004608|DAH:    | 6403|  34|8.137|0.029|0.675|0.026|    |     |
J1011+4958| 823804585985883776|DAH     | 6152|  30|8.226|0.019|0.731|0.018|    |     |
J1012+6116|1051676171819127040|DA      | 6000|  66|7.954|0.032|0.560|0.026|    |     |
J1013+0305|3835861439819152128|DA      | 5140|  20|7.887|0.022|0.514|0.019|    |     |
